reduction -- vector examples,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4,  combine8_8 ,,,,,,
1664000,4910498,1675250,1298131,673783,470738,475800,2.951020433,1.006760817,0.780126803,0.404917668,0.282895433,0.2859375
1696000,5006652,1707264,1317756,685771,478737,483796,2.952035377,1.006641509,0.776978774,0.404346108,0.282274175,0.285257075
1728000,5102726,1735812,1345562,701793,486734,491774,2.952966435,1.004520833,0.778681713,0.406130208,0.281674769,0.284591435
1760000,5198608,1769668,1365763,709807,494743,499807,2.953754545,1.005493182,0.776001705,0.403299432,0.281103977,0.28398125
1792000,5295499,1805179,1393548,721783,507136,512172,2.955077567,1.007354353,0.777649554,0.402780692,0.283,0.285810268
1824000,5394844,1835068,1417857,733766,510744,515767,2.957699561,1.006067982,0.777333882,0.402283991,0.280013158,0.282766996
1856000,5486743,1861896,1437763,749599,518726,523778,2.956219289,1.003176724,0.774656789,0.403878772,0.279485991,0.282207974
1888000,5582728,1899650,1467038,757776,526749,531777,2.95695339,1.006170551,0.777032839,0.401364407,0.278998411,0.281661547
1920000,5683663,1930216,1485768,769768,534739,539748,2.960241146,1.005320833,0.7738375,0.400920833,0.278509896,0.28111875
1952000,5774644,1966094,1513581,786079,546573,552098,2.958321721,1.007220287,0.775400102,0.402704406,0.28000666,0.28283709
1984000,5870685,1995218,1538203,793737,550778,555818,2.959014617,1.005654234,0.775303931,0.400069052,0.277609879,0.280150202
2016000,5970878,2026132,1557770,805740,558768,563762,2.96174504,1.005025794,0.772703373,0.399672619,0.277166667,0.279643849
2048000,6063523,2055844,1585581,822048,566750,571780,2.96070459,1.003830078,0.774209473,0.401390625,0.276733398,0.279189453
2080000,6162957,2089651,1610016,829780,579170,584160,2.962960096,1.004639904,0.774046154,0.398932692,0.278447115,0.280846154
2112000,6258861,2125207,1629794,841797,582768,587764,2.963475852,1.006253314,0.771682765,0.398578125,0.275931818,0.278297348
2144000,6350724,2155200,1657675,857534,590750,595807,2.962091418,1.005223881,0.77316931,0.399969216,0.275536381,0.277895056
2176000,6451948,2186964,1682210,865783,598747,603770,2.965049632,1.005038603,0.773074449,0.397878217,0.275159467,0.277467831
2208000,6547204,2220237,1701784,881788,611143,616099,2.965219203,1.00554212,0.770735507,0.399360507,0.276785779,0.279030344
2240000,6638702,2250278,1725799,889802,614779,619819,2.96370625,1.004588393,0.770445982,0.397233036,0.274454911,0.276704911
2272000,6739029,2285212,1754287,901788,622742,627808,2.966121919,1.005815141,0.772133363,0.396913732,0.27409419,0.276323944
2304000,6835831,2316117,1778162,918057,630768,635760,2.966940538,1.005259115,0.771771701,0.39846224,0.273770833,0.2759375
2336000,6930998,2346823,1797772,925790,643209,648216,2.967036815,1.004633134,0.769594178,0.396314212,0.275346318,0.277489726
2368000,7027130,2380200,1825636,937766,646771,651806,2.967538007,1.005152027,0.770961149,0.396016047,0.273129645,0.275255912
2400000,7123816,2412211,1850270,953714,654763,659772,2.968256667,1.005087917,0.770945833,0.397380833,0.272817917,0.274905
2432000,7219005,2445160,1873915,961785,662748,667766,2.968340872,1.005411184,0.77052426,0.395470806,0.272511513,0.274574836
2464000,7315051,2475352,1897915,977793,674587,679603,2.968770698,1.004607143,0.770257711,0.396831575,0.273777192,0.275812906
2496000,7414284,2506437,1917813,985790,678753,683796,2.970466346,1.00418149,0.768354567,0.394947917,0.271936298,0.273956731
2528000,7507063,2540253,1945641,997800,686774,691819,2.96956606,1.004846915,0.769636472,0.394699367,0.27166693,0.273662579
2560000,7603056,2570352,1970294,1013640,699235,704131,2.96994375,1.00404375,0.769646094,0.395953125,0.273138672,0.275051172
2592000,7703409,2606959,1994162,1021802,702758,707791,2.971994213,1.005771219,0.769352623,0.394213735,0.271125772,0.273067515
2624000,7797736,2636361,2017819,1038139,710772,715800,2.971698171,1.004710747,0.768985899,0.395632241,0.270873476,0.272789634
2656000,7898421,2667235,2041795,1045773,722896,728112,2.973803087,1.004230045,0.768748117,0.393739834,0.272174699,0.274138554
2688000,7987137,2699767,2061782,1061904,726784,731784,2.971405134,1.004377604,0.767031994,0.395053571,0.270380952,0.272241071
2720000,8088448,2733758,2089627,1069802,734786,739795,2.973694118,1.005058088,0.768245221,0.393309559,0.270141912,0.271983456
2752000,8179063,2764996,2114400,1085776,742828,747816,2.972043241,1.004722384,0.768313953,0.394540698,0.269922965,0.271735465
2784000,8279462,2795272,2139086,1093807,754608,759854,2.973944684,1.004048851,0.768349856,0.392890445,0.271051724,0.272936063
2816000,8379573,2826583,2162232,1105800,758762,763807,2.975700639,1.003758168,0.767838068,0.392684659,0.269446733,0.271238281
2848000,8480568,2860276,2186241,1121623,766768,771799,2.977727528,1.004310393,0.767640801,0.393828301,0.269230337,0.27099684
2880000,8569816,2890356,2209898,1129792,779356,784288,2.975630556,1.003595833,0.767325694,0.392288889,0.270609722,0.272322222
2912000,8672025,2929612,2233920,1145728,782772,787807,2.978030563,1.006048077,0.767142857,0.393450549,0.268809066,0.270538118
2944000,8759748,2955321,2257970,1153804,790756,795782,2.97545788,1.003845448,0.766973505,0.39191712,0.268599185,0.270306386
2976000,8851416,2987373,2281881,1169659,803234,808125,2.974266129,1.003821573,0.766761089,0.393030578,0.269903898,0.271547379
3008000,8951613,3020488,2305879,1177800,806786,811804,2.975935173,1.004151596,0.766582114,0.391555851,0.268213431,0.269881649
3040000,9047608,3053733,2330030,1194230,814780,819792,2.976186842,1.004517434,0.766457237,0.392838816,0.268019737,0.269668421
3072000,9144400,3085219,2349794,1201797,827280,832243,2.976692708,1.00430306,0.764906901,0.391209961,0.269296875,0.270912435
3104000,9235178,3115384,2377627,1218249,830788,835824,2.975250644,1.003667526,0.76598808,0.392477126,0.267650773,0.269273196
3136000,9335738,3150247,2401694,1225814,838783,843799,2.97695727,1.004543048,0.765846301,0.390884566,0.267469069,0.269068559
3168000,9432518,3183643,2425680,1242225,850718,855662,2.977436237,1.004937816,0.765681818,0.392116477,0.268534722,0.270095328
3200000,9527724,3210480,2453654,1249814,854781,859816,2.97741375,1.003275,0.766766875,0.390566875,0.267119063,0.2686925
3232000,9625171,3248947,2473996,1265779,866976,872212,2.978085087,1.005243502,0.765469059,0.391639542,0.268247525,0.269867574
3264000,9722608,3275361,2497980,1273802,870796,875788,2.978740196,1.003480699,0.7653125,0.390257966,0.26678799,0.268317402
3296000,9815810,3306571,2521996,1289702,878786,883814,2.978097694,1.003207221,0.765168689,0.391293083,0.266621966,0.268147451
3328000,9912417,3343785,2546042,1301877,891355,896390,2.978490685,1.004743089,0.765036659,0.391189002,0.267835036,0.269347957
3360000,10011736,3370291,2570061,1309843,894787,899774,2.979683333,1.003062798,0.764899107,0.389834226,0.266305655,0.267789881
3392000,10103680,3409389,2594076,1325925,902769,907795,2.978679245,1.005126474,0.764762972,0.3908977,0.266146521,0.267628243
3424000,10200470,3435386,2618330,1333838,915422,920270,2.979109229,1.00332535,0.764699182,0.389555491,0.267354556,0.268770444
3456000,10295628,3467611,2643321,1350271,918792,923810,2.979059028,1.003359664,0.764849826,0.390703414,0.265854167,0.267306134
3488000,10396884,3504199,2669320,1357819,930950,936271,2.980758028,1.004644209,0.765286697,0.38928297,0.266900803,0.268426319
3520000,10487680,3530464,2695149,1374316,934783,939830,2.979454545,1.002972727,0.76566733,0.390430682,0.265563352,0.266997159
3552000,10584535,3569016,2719480,1381850,942787,947781,2.979880349,1.004790541,0.765619369,0.389034347,0.265424268,0.266830236
3584000,10683532,3595360,2750462,1397880,955560,960302,2.980896205,1.003169643,0.767428013,0.390033482,0.266618304,0.267941406
3616000,10775752,3631020,2766112,1410187,958788,963847,2.980019912,1.004153761,0.764964602,0.389985343,0.265151549,0.266550608
3648000,10877392,3660456,2788603,1417869,971025,976216,2.981741228,1.003414474,0.764419682,0.38867023,0.266180099,0.26760307
3680000,10971962,3694039,2813594,1434271,974786,979807,2.981511413,1.003814946,0.764563587,0.389747554,0.2648875,0.266251902
3712000,11064542,3725416,2837628,1441816,982819,987818,2.980749461,1.003614224,0.764447198,0.388420259,0.26476805,0.266114763
3744000,11164245,3759244,2862079,1457839,995493,1000267,2.981903045,1.004071581,0.764444177,0.389380075,0.265890224,0.267165331
3776000,11256484,3790396,2891484,1469935,998786,1019371,2.981060381,1.0038125,0.765753178,0.389283633,0.264509004,0.26996054
3808000,11355300,3820509,2910585,1477852,1011974,1032218,2.981959034,1.003284926,0.764334296,0.388091387,0.265749475,0.271065651
3840000,11452812,3854784,2932992,1494381,1031071,1035854,2.982503125,1.00385,0.7638,0.389161719,0.268508073,0.269753646
3872000,11548185,3885432,2973369,1521876,1038772,1047914,2.982485795,1.003469008,0.767915548,0.393046488,0.268277893,0.270638946
3904000,11644972,3921249,3003609,1529726,1050804,1051833,2.982830943,1.004418289,0.769367059,0.391835553,0.269160861,0.269424436
3936000,11740032,3951936,3021393,1546161,1054800,1059804,2.982731707,1.00404878,0.767630335,0.392825457,0.267987805,0.269259146
3968000,11832542,3980577,3045314,1553690,1067376,1072264,2.981991431,1.003169607,0.767468246,0.39155494,0.268995968,0.270227823
4000000,11931684,4019272,3065827,1569441,1070779,1075831,2.982921,1.004818,0.76645675,0.39236025,0.26769475,0.26895775
4032000,12029032,4053633,3097519,1581796,1083408,1088234,2.983390873,1.005365327,0.768233879,0.392310516,0.268702381,0.269899306
4064000,12133017,4077556,3114115,1589529,1086804,1092424,2.985486467,1.00333563,0.766268455,0.391124262,0.267422244,0.268805118
4096000,12237600,4121539,3138451,1605590,1099852,1106150,2.987695313,1.006235107,0.766223389,0.391989746,0.268518555,0.270056152
4128000,12332491,4156072,3165852,1617926,1103568,1109755,2.987522045,1.006800388,0.766921512,0.391939438,0.267337209,0.268835998
