reduction -- vector examples,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4,  combine8_8 ,,,,,,
6816000,20412844,6847920,5183786,2648664,1852694,1790260,2.994842136,1.004683099,0.760531984,0.38859507,0.271815434,0.262655516
6848000,20502669,6880228,5208144,2661076,1867416,1804622,2.993964515,1.004706192,0.760535047,0.388591706,0.272695093,0.263525409
6880000,20683684,6910324,5235631,2674368,1876130,1812379,3.006349419,1.004407558,0.760992878,0.388716279,0.272693314,0.26342718
6912000,20694108,6948408,5255270,2686581,1883918,1820656,2.993939236,1.005267361,0.760311053,0.388683594,0.272557581,0.263405093
6944000,20794507,6977236,5279272,2698185,1886253,1824633,2.994600662,1.00478629,0.760263825,0.388563508,0.271637817,0.262763969
6976000,20890435,7007068,5303200,2715878,1900915,1837816,2.994615109,1.004453555,0.760206422,0.389317374,0.272493549,0.263448394
7008000,20987556,7036651,5328204,2721957,1910587,1844815,2.994799658,1.004088328,0.760303082,0.388407106,0.272629424,0.26324415
7040000,21082473,7071254,5355072,2733736,1922340,1854127,2.99466946,1.004439489,0.760663636,0.388314773,0.273059659,0.263370313
7072000,21177969,7106508,5375512,2745722,1932974,1858317,2.994622313,1.004879525,0.760111991,0.388252545,0.273327771,0.262771069
7104000,21274612,7136421,5399712,2759023,1939461,1870387,2.99473705,1.004563767,0.760094595,0.388375985,0.273009713,0.263286458
7136000,21370041,7166688,5423613,2769564,1950148,1878962,2.994680633,1.004300448,0.760035454,0.388111547,0.273283072,0.263307455
7168000,21474698,7201593,5455197,2782449,1958486,1886536,2.995912109,1.004686523,0.761048689,0.388176479,0.273226283,0.263188616
7200000,21562543,7230542,5471332,2797504,1969240,1893972,2.994797639,1.004241944,0.759907222,0.388542222,0.273505556,0.263051667
7232000,21658368,7265409,5495210,2807198,1977242,1897768,2.99479646,1.004619607,0.759846515,0.38816344,0.273401825,0.262412611
7264000,21756976,7298628,5520420,2818579,1984780,1910354,2.995178414,1.00476707,0.759969714,0.388020237,0.273235132,0.262989262
7296000,21849667,7326736,5550249,2830552,1987447,1917844,2.994746025,1.004212719,0.760724918,0.38795943,0.272402275,0.26286239
7328000,21945825,7364479,5567913,2844139,2001614,1925985,2.994790529,1.004978029,0.759813455,0.388119405,0.273146015,0.262825464
7360000,22042399,7391455,5595645,2860425,2009748,1934568,2.994891168,1.004273777,0.760277853,0.388644701,0.273063587,0.262848913
7392000,22142258,7425722,5624988,2868216,2016362,1937822,2.995435335,1.004561959,0.760956169,0.388016234,0.272776245,0.262151245
7424000,22255994,7456975,5639892,2881380,2025441,1950864,2.997844019,1.004441676,0.759683728,0.388116918,0.272823411,0.262778017
7456000,22330591,7486452,5670919,2891889,2033299,1960176,2.994982698,1.004084227,0.76058463,0.387860649,0.272706411,0.262899142
7488000,22426574,7520964,5690752,2904256,2037012,1968122,2.99500187,1.004402244,0.759982906,0.387854701,0.272036859,0.262836806
7520000,22525828,7550604,5714028,2919804,2047380,1976652,2.995455851,1.004069681,0.759844149,0.388271809,0.272257979,0.26285266
7552000,22618382,7589061,5741844,2927848,2054904,1985546,2.995018803,1.004907442,0.760307733,0.387691737,0.272100636,0.262916578
7584000,22721402,7623856,5759841,2941116,2064307,1988457,2.995965454,1.005255274,0.759472706,0.38780538,0.272192379,0.26219106
7616000,22811025,7649618,5785449,2952784,2074387,2001350,2.995145089,1.004414128,0.759644039,0.387707983,0.272372243,0.2627823
7648000,22910332,7679954,5813870,2963520,2081035,2010093,2.995597803,1.004178086,0.760181747,0.38748954,0.272101857,0.262825968
7680000,23005404,7711137,5831292,2979652,2091374,2017387,2.995495313,1.004054297,0.759282813,0.387975521,0.272314323,0.262680599
7712000,23106595,7746660,5859590,2988837,2100768,2025794,2.996187111,1.004494295,0.759801608,0.387556665,0.27240249,0.262680757
7744000,23198923,7779765,5880585,3001396,2103340,2034686,2.995728693,1.004618414,0.759373063,0.387576963,0.271608988,0.262743543
7776000,23290401,7807228,5977104,3012496,2115163,2036827,2.995164738,1.004015947,0.768660494,0.387409465,0.272011703,0.261937629
7808000,23390596,7840639,5928669,3029913,2124676,2050754,2.995721824,1.0041802,0.759306993,0.388052382,0.272115266,0.262647797
7840000,23486347,7870896,5956202,3039084,2131783,2058112,2.995707526,1.003940816,0.759719643,0.387638265,0.271911097,0.262514286
7872000,23585392,7910392,5976732,3051309,2140243,2066289,2.996111789,1.004877033,0.759239329,0.387615473,0.271880462,0.262485899
7904000,23678277,7936857,6003338,3064267,2148912,2074070,2.995733426,1.004157009,0.75953163,0.387685602,0.271876518,0.262407642
7936000,23774570,7967313,6023455,3072146,2156011,2084323,2.99578755,1.003945691,0.759003906,0.387115171,0.271674773,0.262641507
7968000,23867112,8004928,6051429,3086584,2163818,2090289,2.995370482,1.004634538,0.759466491,0.38737249,0.271563504,0.262335467
8000000,23965802,8030748,6072201,3099189,2171421,2096664,2.99572525,1.0038435,0.759025125,0.387398625,0.271427625,0.262083
8032000,24062767,8065624,6099513,3113095,2179828,2106938,2.995862425,1.004186255,0.759401519,0.387586529,0.271392928,0.262317978
8064000,24162789,8101488,6119277,3121032,2194005,2116032,2.996377604,1.00464881,0.758838914,0.387032738,0.272074033,0.262404762
8096000,24254121,8127626,6147600,3134107,2205064,2124072,2.995815341,1.003906374,0.759337945,0.387117959,0.272364625,0.262360672
8128000,24350421,8164812,6169005,3149388,2215708,2133326,2.995868725,1.004529035,0.758981914,0.387473917,0.27260187,0.262466289
8160000,24446532,8191396,6195302,3157804,2225940,2140238,2.995898529,1.003847549,0.759228186,0.386985784,0.272786765,0.262284069
8192000,24545251,8228164,6221846,3170352,2234988,2147930,2.99624646,1.004414551,0.759502686,0.387005859,0.272825684,0.262198486
8224000,24639129,8261268,6239539,3185520,2242152,2156505,2.99600304,1.004531615,0.758698808,0.387344358,0.272635214,0.262220939
8256000,24742473,8286775,6268327,3195640,2249541,2164212,2.996908067,1.003727592,0.759245034,0.387068798,0.272473474,0.262138081
8288000,24833980,8326317,6287366,3206172,2257348,2169033,2.996377896,1.00462319,0.758610763,0.386845077,0.272363417,0.26170765
8320000,24930688,8350778,6315681,3222396,2265033,2180493,2.996476923,1.003699279,0.759096274,0.387307212,0.272239543,0.262078486
8352000,25022656,8390361,6339141,3230467,2272850,2192164,2.996007663,1.004593032,0.758996767,0.386789631,0.272132423,0.262471743
8384000,25119278,8417299,6360595,3243386,2283297,2200521,2.99609709,1.003971732,0.758658755,0.386854246,0.272339814,0.262466722
8416000,25218374,8462426,6387259,3259029,2287442,2207796,2.9964798,1.005516397,0.758942372,0.387242039,0.271796816,0.262333175
8448000,25310769,8486500,6411674,3265231,2297635,2214573,2.996066406,1.004557292,0.758957623,0.386509351,0.27197384,0.26214169
8480000,25413674,8519148,6431160,3279196,2306028,2223739,2.996895519,1.004616509,0.758391509,0.386697642,0.271937264,0.262233373
8512000,25506794,8546632,6460173,3294064,2316052,2232007,2.996568844,1.004068609,0.758948896,0.386990602,0.272092575,0.262218867
8544000,25598827,8580592,6483792,3304260,2324349,2238583,2.996117392,1.004282772,0.758870787,0.386734551,0.272044593,0.262006437
8576000,25697985,8615284,6507338,3320236,2337132,2248612,2.996500117,1.00458069,0.758784748,0.387154384,0.272520056,0.262198228
8608000,25797576,8642676,6527064,3326570,2347243,2255354,2.996930297,1.004028346,0.758255576,0.386450976,0.272681575,0.262006738
8640000,25890206,8676196,6555674,3338510,2352470,2264354,2.99655162,1.004189352,0.758758565,0.38640162,0.27227662,0.262078009
8672000,25982169,8706381,6579021,3354708,2364014,2275029,2.996098824,1.003964599,0.758650946,0.386843635,0.27260309,0.262341905
8704000,26085453,8739494,6602020,3364466,2372402,2284934,2.996950023,1.004077895,0.758504136,0.386542509,0.272564568,0.262515395
8736000,26179910,8772722,6629246,3375525,2381757,2292069,2.99678457,1.004203526,0.758842262,0.386392514,0.272637019,0.262370536
8768000,26274021,8800824,6652380,3386884,2390851,2300577,2.996580862,1.003743613,0.758711223,0.386277828,0.272679174,0.262383326
8800000,26370345,8835074,6678307,3399422,2398041,2301763,2.996630114,1.003985682,0.758898523,0.386297955,0.272504659,0.261563977
8832000,26468390,8870748,6701128,3417530,2406446,2317132,2.996873868,1.004387228,0.75873279,0.386948596,0.272468976,0.262356431
8864000,26563224,8900848,6721068,3423062,2403036,2324323,2.99675361,1.00415704,0.758243231,0.386175767,0.271100632,0.262220555
8896000,26658328,8927812,6747660,3442915,2412300,2327630,2.996664568,1.003575989,0.758504946,0.387018323,0.271166817,0.261649056
8928000,26756570,8965987,6775956,3448339,2419768,2339212,2.996927643,1.004254816,0.758955645,0.386238687,0.271031362,0.262008513
8960000,26854413,8994340,6804626,3459782,2430818,2350437,2.997144308,1.003832589,0.759444866,0.386136384,0.271296652,0.262325558
8992000,26947298,9025384,6827097,3475248,2443231,2356886,2.996808052,1.003712633,0.759241214,0.386482206,0.271711633,0.262109208
9024000,27042662,9060343,6843856,3483715,2445331,2365682,2.996748892,1.004027371,0.758406028,0.386049978,0.270980829,0.262154477
9056000,27138208,9090283,6863366,3499737,2454360,2373571,2.996710247,1.003785667,0.757880521,0.386455057,0.271020318,0.262099271
9088000,27238228,9125510,6893716,3506616,2452651,2382691,2.997164173,1.004127421,0.758551496,0.385851232,0.269877971,0.262179908
9120000,27332419,9154648,6915660,3524892,2460448,2390911,2.996975768,1.003799123,0.758296053,0.386501316,0.269785965,0.262161294
9152000,27430579,9190435,6938836,3532656,2468976,2400427,2.997222356,1.004199628,0.75817701,0.385998252,0.269774476,0.262284419
9184000,27521702,9216816,6963549,3548532,2476771,2406376,2.996701002,1.003573171,0.758226154,0.386381969,0.269683253,0.262018293
9216000,27624012,9250886,6991070,3556312,2485776,2416058,2.997397135,1.003785373,0.758579644,0.385884549,0.269723958,0.262159071
9248000,27713860,9288014,7010990,3578126,2495654,2423407,2.996740917,1.004326773,0.75810878,0.386908088,0.26985878,0.262046605
9280000,27848848,9315208,7035084,3580384,2512797,2429354,3.000953448,1.003793966,0.758090948,0.385817241,0.270775539,0.261783836
9312000,27938479,9348885,7060238,3598077,2516349,2440322,3.000266216,1.003961018,0.75818707,0.38639143,0.270226482,0.26206207
9344000,28006567,9380966,7083472,3608080,2519796,2443171,2.997278146,1.003956122,0.758077055,0.386138699,0.269669949,0.261469499
9376000,28101955,9410383,7107384,3620572,2528160,2452656,2.997222163,1.003667129,0.758040102,0.386153157,0.269641638,0.261588737
9408000,28200518,9443949,7130988,3628797,2538100,2455329,2.997504039,1.00382111,0.757970663,0.385713967,0.269781037,0.260983099
9440000,28289863,9475075,7156216,3644647,2542262,2463528,2.996807521,1.003715572,0.758073729,0.386085487,0.269307415,0.260966949
9472000,28390567,9509882,7179420,3654343,2550816,2472256,2.997314928,1.003999367,0.757962416,0.385804793,0.269300676,0.261006757
9504000,28485724,9547425,7203273,3669352,2559484,2480160,2.997235269,1.004569129,0.757920139,0.386085017,0.269305976,0.260959596
9536000,28581876,9567019,7226810,3677940,2572053,2492109,2.997260487,1.003252831,0.757845008,0.385690017,0.269720323,0.261336934
9568000,28677784,9604603,7251645,3692414,2578591,2496276,2.997260033,1.003825564,0.757906041,0.385912834,0.269501568,0.260898411
9600000,28773600,9638836,7285814,3700896,2590293,2502868,2.99725,1.004045417,0.758938958,0.38551,0.269822188,0.260715417
9632000,28874488,9670965,7313481,3719006,2606644,2511645,2.997766611,1.00404537,0.759289971,0.386109427,0.270623339,0.260760486
9664000,28966579,9700718,7329417,3729609,2611156,2519107,2.997369516,1.003799462,0.758424772,0.385928084,0.270194123,0.260669185
9696000,29061607,9732496,7348068,3737601,2618433,2527821,2.99727795,1.003764026,0.757845297,0.385478651,0.270052908,0.260707611
9728000,29158248,9764258,7371636,3757334,2629850,2531716,2.997352796,1.003727179,0.757775082,0.386239104,0.270338199,0.260250411
9760000,29253724,9795360,7395494,3763682,2635605,2538144,2.997307787,1.003622951,0.757735041,0.385623156,0.270041496,0.260055738
9792000,29357016,9829747,7419513,3777098,2646948,2545675,2.998061275,1.003854882,0.757711703,0.385733047,0.270317402,0.25997498
9824000,29446759,9859802,7442623,3786633,2654522,2561157,2.99743068,1.00364434,0.757595989,0.38544717,0.270207858,0.260704092
9856000,29541492,9891494,7467091,3801316,2659497,2565813,2.997310471,1.003601258,0.757618811,0.385685471,0.269835329,0.260330053
9888000,29641413,9924122,7492572,3814344,2670134,2573469,2.997715716,1.003653115,0.757743932,0.385754854,0.270037824,0.260261833
9920000,29736254,9954127,7515352,3822201,2676684,2567524,2.99760625,1.003440222,0.757595968,0.38530252,0.269827016,0.258822984
9952000,29830036,9995498,7543478,3838495,2689224,2573431,2.997391077,1.00437078,0.757986133,0.385700864,0.270219453,0.258584305
9984000,29929632,10020309,7564000,3847473,2674632,2581600,2.997759615,1.003636719,0.757612179,0.385363882,0.267891827,0.258573718
10016000,30022228,10053367,7572813,3844020,2671821,2590257,2.997426917,1.003730731,0.756071585,0.383787939,0.266755292,0.258611921
,,,,,,,,,,,,
Wakeup delay calculated 0.072973,,,,,,,,,,,,
