reduction -- vector examples,,,,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4,  combine8_8 ,,,,,,,,  combine8_2,  combine8_4,  combine8_8 
6528000,19544896,6548359,2514148,1295056,893714,892370,2.994009804,1.003118719,0.385132966,0.198384804,0.136904718,0.136698836,,,,
6560000,19644043,6578126,2526208,1295745,889778,985226,2.99451875,1.00276311,0.385092683,0.197522104,0.13563689,0.15018689,,,,
6592000,19740259,6609590,2538247,1306677,893762,900720,2.994578125,1.002668386,0.385049606,0.198221632,0.135582828,0.13663835,,,,
6624000,19832894,6644066,2550199,1307743,903744,985795,2.994096316,1.003029287,0.38499381,0.19742497,0.136434783,0.148821709,,,,
6656000,19928239,6674503,2562288,1320343,901776,914944,2.994026292,1.002779898,0.384959135,0.19836884,0.135483173,0.137461538,,,,
6688000,20032116,6708144,2574184,1326652,905774,993808,2.995232656,1.003011962,0.384895933,0.198363038,0.135432715,0.148595694,,,,
6720000,20121040,6734599,2586201,1325760,914438,921076,2.994202381,1.00217247,0.384851339,0.197285714,0.136077083,0.137064881,,,,
6752000,20216635,6774340,2599092,1337217,913766,1002067,2.994169876,1.003308649,0.384936611,0.198047541,0.135332642,0.148410397,,,,
6784000,20316700,6803244,2610285,1337736,925992,924535,2.99479658,1.002836675,0.384770784,0.197189858,0.136496462,0.136281692,,,,
6816000,20409115,6835144,2622249,1348802,921775,1017324,2.994295041,1.002808685,0.38471963,0.197887617,0.135236942,0.149255282,,,,
6848000,20592748,6870643,2640801,1349750,925802,932241,3.007118575,1.003306513,0.385630987,0.197101343,0.135193049,0.136133324,,,,
6880000,20621172,6898600,2646247,2191252,936096,1025486,2.997263372,1.002703488,0.384628924,0.31849593,0.136060465,0.149053198,,,,
6912000,20700943,6933597,2658338,2562504,933775,940442,2.994928096,1.003124566,0.384597512,0.370732639,0.135094763,0.136059317,,,,
6944000,20791051,6959625,2670165,2537253,943852,1025793,2.994102967,1.002250144,0.38452837,0.365387817,0.135923387,0.147723646,,,,
6976000,20886451,6995918,2682302,2546779,941757,954362,2.994044008,1.002855218,0.3845043,0.365077265,0.13499957,0.136806479,,,,
7008000,20984020,7030339,2694230,2567157,945770,1033800,2.994295091,1.003187643,0.384450628,0.366318065,0.134955765,0.147517123,,,,
7040000,21082024,7066236,2707058,2567947,957585,964432,2.994605682,1.003726705,0.384525284,0.364765199,0.136020597,0.136993182,,,,
7072000,21181322,7101151,2718304,2578802,953767,1041816,2.995096437,1.004122031,0.384375566,0.364649604,0.134865243,0.147315611,,,,
7104000,21275004,7127664,2734574,2602665,963019,964408,2.99479223,1.003331081,0.384934403,0.366366132,0.135560107,0.135755631,,,,
7136000,21370692,7154486,2742218,2601890,961970,1055481,2.994771861,1.002590527,0.384279428,0.36461463,0.134805213,0.147909333,,,,
7168000,21467618,7188458,2754259,2612649,965767,972765,2.994924386,1.002854074,0.384243722,0.364487863,0.134733119,0.135709403,,,,
7200000,21564525,7218612,2766225,2596387,977395,1062662,2.995072917,1.002585,0.384197917,0.360609306,0.135749306,0.147591944,,,,
7232000,21660271,7255956,2778235,2447332,973785,980246,2.995059596,1.0033125,0.384158601,0.338403208,0.134649475,0.135542865,,,,
7264000,21754413,7283620,2790240,2457004,983599,1070688,2.994825578,1.002700991,0.384118943,0.338243943,0.135407351,0.147396476,,,,
7296000,21851025,7315111,2802264,2466266,981787,988416,2.994932155,1.00261938,0.384082237,0.338029879,0.134565104,0.135473684,,,,
7328000,21946862,7349580,2818905,2477784,985780,1073764,2.994932041,1.002944869,0.384675901,0.338125546,0.13452238,0.14652893,,,,
7360000,22042639,7378569,2826307,2487962,995690,1001426,2.994923777,1.002522962,0.384009103,0.338038315,0.135283967,0.136063315,,,,
7392000,22139457,7419936,2838242,2497005,993804,1081797,2.995056412,1.003779221,0.38396131,0.337798295,0.134443182,0.146346997,,,,
7424000,22244923,7444663,2850156,2507649,1004872,1011722,2.996352775,1.00278327,0.383911099,0.337775997,0.135354526,0.136277209,,,,
7456000,22330394,7477598,2862285,2517564,1001769,1089801,2.994956277,1.002896727,0.383890156,0.337656116,0.13435743,0.146164297,,,,
7488000,22428768,7514409,2878509,2531265,1005763,1017064,2.995294872,1.003526843,0.384416266,0.338042869,0.13431664,0.135825855,,,,
7520000,32563694,7548283,2886208,2539372,1016400,1097812,4.330278457,1.003761037,0.383804255,0.337682447,0.135159574,0.145985638,,,,
7552000,42136008,7580628,2898374,2478436,1013791,1027848,5.579450212,1.003790784,0.38378893,0.328182733,0.134241393,0.136102754,,,,
7584000,37582965,7606915,2910292,2389370,1024051,1105790,4.955559731,1.003021493,0.383741034,0.315054061,0.135027822,0.145805643,,,,
7616000,34480665,7639716,2925448,2398108,1021783,1028220,4.527398241,1.003113971,0.384118697,0.314877626,0.134162684,0.135007878,,,,
7648000,31824530,7668933,2938644,2407665,1030720,1119403,4.161157165,1.002737055,0.384236925,0.314809754,0.134769874,0.146365455,,,,
7680000,29870575,7705339,2946268,2419286,1029787,1036360,3.889397786,1.003299349,0.383628646,0.315011198,0.134086849,0.134942708,,,,
7712000,28285538,7733354,2958232,2429978,1033783,1127397,3.66773055,1.002768932,0.383588174,0.315090508,0.134048626,0.14618737,,,,
7744000,26981786,7764535,2970309,2442765,1045807,1044890,3.484218233,1.00265173,0.383562629,0.315439695,0.135047392,0.134928977,,,,
7776000,25843764,7799078,2986528,2456476,1057740,1136145,3.323529321,1.00296785,0.384069959,0.315904835,0.136026235,0.146109182,,,,
7808000,24811164,7828795,2994398,2454393,1068048,1052359,3.177659324,1.002663294,0.383503842,0.314343366,0.136788934,0.134779585,,,,
7840000,23862012,7859568,3006240,2469801,1065748,1144586,3.04362398,1.002495918,0.38344898,0.315025638,0.135937245,0.145993112,,,,
7872000,23567416,7896240,3018230,2417572,1074796,1060543,2.993828252,1.003079268,0.383413364,0.307110264,0.136534045,0.13472345,,,,
7904000,23664832,7923806,3034682,2352583,1073755,1153485,2.994032389,1.00250582,0.383942561,0.29764461,0.13584957,0.145936867,,,,
7936000,23758154,7955875,3057943,2362939,1085544,1068955,2.993719002,1.00250441,0.385325479,0.29774937,0.136787298,0.134696951,,,,
7968000,23854682,7988008,3070190,2370842,1081773,1153792,2.993810492,1.002511044,0.38531501,0.297545432,0.135764684,0.144803213,,,,
8000000,23950209,8025859,3082267,2378299,1085731,1081552,2.993776125,1.003232375,0.385283375,0.297287375,0.135716375,0.135194,,,,
8032000,24046056,8055470,3098546,2389749,1095895,1161811,2.993781873,1.002922062,0.385775149,0.297528511,0.136441111,0.144647784,,,,
8064000,24144760,8088984,3106190,2397823,1093468,1091479,2.994141865,1.003098214,0.385192212,0.297349082,0.13559871,0.135352059,,,,
8096000,24237914,8118640,3118252,2408133,1104792,1169817,2.993813488,1.002796443,0.385159585,0.297447258,0.136461462,0.144493207,,,,
8128000,24334250,8151585,3136005,2419994,1101756,1100476,2.993879183,1.002901698,0.385827387,0.297735482,0.135550689,0.135393209,,,,
8160000,24430406,8185668,3144878,2427926,1111449,1177809,2.993922304,1.003145588,0.385401716,0.297539951,0.136206985,0.144339338,,,,
8192000,24573326,8224413,3154528,2365718,1109061,1106119,2.999673584,1.003956665,0.385074219,0.288783936,0.135383423,0.135024292,,,,
8224000,24646288,8259074,3170644,2292153,1121277,1185804,2.996873541,1.004264835,0.385535506,0.278715102,0.136342048,0.14418823,,,,
8256000,24739670,8287152,3178444,2308795,1117850,1113348,2.996568556,1.003773256,0.38498595,0.279650557,0.135398498,0.134853198,,,,
8288000,24831720,8323329,3190387,2316199,1127781,1193796,2.996105212,1.004262669,0.384940516,0.279464165,0.136073962,0.144039093,,,,
8320000,24931118,8350348,3206731,2324527,1125434,1122448,2.996528606,1.003647596,0.385424399,0.279390264,0.13526851,0.134909615,,,,
8352000,25023338,8387455,3214509,2334204,1135569,1201797,2.99608932,1.004245091,0.384878951,0.279478448,0.135963721,0.143893319,,,,
8384000,25125924,8420349,3226476,2347500,1134472,1132046,2.99688979,1.00433552,0.384837309,0.279997615,0.135313931,0.135024571,,,,
8416000,25214836,8454967,3242892,2359101,1145541,1209828,2.996059411,1.004630109,0.38532462,0.280311431,0.136114663,0.143753327,,,,
8448000,25315797,8480841,3250560,2371560,1149009,1139440,2.996661577,1.003887429,0.384772727,0.280724432,0.136009588,0.134876894,,,,
8480000,25407057,8515051,3262495,2379381,1160601,1217757,2.996115212,1.004133373,0.384728184,0.280587382,0.136863325,0.14360342,,,,
8512000,25507130,8547033,3280980,2392125,1159034,1147065,2.996608318,1.004115719,0.385453477,0.281029723,0.136164709,0.134758576,,,,
8544000,25607380,8578876,3286708,2324541,1162869,1226234,2.997118446,1.004081929,0.384680243,0.272067065,0.136103581,0.143519897,,,,
8576000,25695216,8607225,3298504,2295691,1172884,1154460,2.996177239,1.003640975,0.384620336,0.26768785,0.136763526,0.134615205,,,,
8608000,25798204,8645097,3314767,2283712,1172205,1234370,2.997003253,1.004309596,0.385079809,0.265301115,0.136176231,0.143398002,,,,
8640000,25933495,8674106,3323728,2291104,1177164,1162430,3.001561921,1.003947454,0.384690741,0.265174074,0.136245833,0.134540509,,,,
8672000,26017106,8708109,3339256,2299161,1175546,1242391,3.000127537,1.004163861,0.385061808,0.265124654,0.135556504,0.143264645,,,,
8704000,26086245,8756325,3346850,2309270,1184568,1173427,2.997041016,1.006011604,0.384518612,0.265311351,0.136094669,0.134814683,,,,
8736000,26179130,8775254,3384172,2315536,1184920,1250402,2.996695284,1.004493361,0.387382326,0.265056777,0.135636447,0.143132097,,,,
8768000,26270978,8816196,3378074,2326272,1194374,1180348,2.996233805,1.005496807,0.385273038,0.265313869,0.136219662,0.134619982,,,,
8800000,26373960,8848106,3384717,2332346,1192857,1258375,2.997040909,1.005466591,0.384626932,0.265039318,0.135551932,0.142997159,,,,
8832000,26469038,8880024,3403608,2339172,1204214,1190083,2.996947237,1.0054375,0.385372283,0.264851902,0.136346694,0.134746716,,,,
8864000,26566596,8903440,3410210,2331504,1201531,1266386,2.997134025,1.004449458,0.384725857,0.263030686,0.135551782,0.142868457,,,,
8896000,26658036,8933025,3425006,2233831,1212772,1195802,2.996631745,1.004161983,0.385005171,0.251105103,0.136327788,0.134420189,,,,
8928000,26754345,8966188,3432835,2240462,1209993,1274229,2.996678427,1.00427733,0.384502128,0.250947805,0.13552789,0.142722782,,,,
8960000,26853266,8992300,3444952,2248113,1224216,1204046,2.997016295,1.003604911,0.38448125,0.250905469,0.13663125,0.134380134,,,,
8992000,26946076,9031447,3461126,2256213,1221182,1282401,2.996672153,1.004386899,0.384911699,0.250913367,0.135807607,0.14261577,,,,
9024000,27042283,9063182,3468698,2262640,1230950,1211018,2.996706893,1.004341977,0.38438586,0.250735816,0.136408466,0.13419969,,,,
9056000,27143988,9093477,3485210,2269778,1228173,1290439,2.997348498,1.004138361,0.384850928,0.25063803,0.13561981,0.142495473,,,,
9088000,27234079,9128601,3493740,2280026,1240161,1221669,2.996707636,1.00446754,0.384434419,0.250883143,0.136461378,0.134426607,,,,
9120000,27336840,9152580,3509443,2279560,1243879,1298455,2.997460526,1.003572368,0.384807346,0.249951754,0.136390241,0.142374452,,,,
9152000,27430869,9191404,3516940,2294839,1240917,1227040,2.997254043,1.004305507,0.384281031,0.250747268,0.135589707,0.134073427,,,,
9184000,27523653,9217351,3533275,2300524,1250042,1306442,2.996913436,1.003631424,0.38472071,0.250492596,0.136110845,0.14225196,,,,
9216000,27621782,9252703,3540991,2308836,1248451,1235515,2.997155165,1.00398253,0.384222114,0.25052474,0.135465603,0.134061957,,,,
9248000,27722990,9284294,3557680,2265696,1260518,1319479,2.997728157,1.003924524,0.384697232,0.24499308,0.136301687,0.142677228,,,,
9280000,27811159,9312528,3565156,2209488,1257081,1238095,2.996892134,1.003505172,0.384176293,0.238091379,0.135461315,0.133415409,,,,
9312000,27914256,9348160,3582218,2217660,1266657,1327104,2.997664948,1.003883162,0.384688359,0.238150773,0.136024162,0.142515464,,,,
9344000,28012202,9373924,3589444,2223494,1264814,1245062,2.997881207,1.003202483,0.384144264,0.237959546,0.135361087,0.133247217,,,,
9376000,28106776,9408868,3605620,2229528,1274068,1338703,2.997736348,1.003505546,0.384558447,0.237790956,0.135886092,0.142779757,,,,
9408000,28198216,9443808,3612988,2238772,1270912,1253469,2.997259354,1.003806122,0.384033588,0.237964711,0.135088435,0.133234375,,,,
9440000,28297488,9472886,3629217,2245401,1280347,1344232,2.997615254,1.003483686,0.384450953,0.237860275,0.135629979,0.142397458,,,,
9472000,28385964,9507631,3637012,2253009,1278861,1262006,2.99682897,1.003761719,0.383975084,0.237859903,0.135014886,0.133235431,,,,
9504000,28486800,9539424,3654400,2260783,1291560,1351783,2.997348485,1.003727273,0.384511785,0.237876999,0.135896465,0.14223306,,,,
9536000,28585485,9569913,3661178,2265883,1287004,1268889,2.997638947,1.003556313,0.383932257,0.23761357,0.134962668,0.133063024,,,,
9568000,28677849,9602964,3677474,2289818,1298342,1361707,2.997266827,1.003654264,0.38435138,0.239320443,0.135696279,0.142318875,,,,
9600000,28777041,9633271,3684957,2172866,1295563,1277320,2.997608438,1.003465729,0.383849688,0.226340208,0.134954479,0.133054167,,,,
9632000,28869921,9676778,3701092,2172765,1306687,1369080,2.997292463,1.004648879,0.384249585,0.225577762,0.135661026,0.142138704,,,,
9664000,28968595,9700855,3709492,2185060,1310757,1291274,2.997578125,1.003813638,0.38384644,0.226103063,0.135632968,0.133616929,,,,
9696000,29062430,9742663,3726129,2194020,1307097,1370220,2.99736283,1.004812603,0.384295483,0.226280941,0.134807859,0.141318069,,,,
9728000,29161488,9769598,3736502,2201611,1322011,1300514,2.997685855,1.00427611,0.384097656,0.22631692,0.135897512,0.133687706,,,,
9760000,29256496,9798211,3750021,2207205,1316755,1378464,2.997591803,1.003915061,0.384223463,0.226148053,0.134913422,0.141236066,,,,
9792000,29352621,9828204,3760749,2214967,1324850,1306648,2.997612439,1.003697304,0.384063419,0.226201695,0.135299224,0.133440359,,,,
9824000,29445643,9858583,3767265,2222248,1306581,1386480,2.997317081,1.003520257,0.383475672,0.226206026,0.13299888,0.141131922,,,,
9856000,29545795,9890424,3783760,2228973,1317919,1319229,2.997747058,1.003492695,0.383904221,0.226153916,0.133717431,0.133850345,,,,
9888000,29640261,9922855,3795036,2235866,1314818,1400270,2.997599211,1.00352498,0.383802184,0.226119134,0.132971076,0.141613066,,,,
9920000,29736698,9956232,3811603,2243397,1324564,1317182,2.997651008,1.003652419,0.384234173,0.226148891,0.133524597,0.132780444,,,,
9952000,29833720,9987741,3815937,2186661,1328548,1409448,2.997761254,1.003591338,0.383434184,0.21972076,0.133495579,0.141624598,,,,
9984000,29927028,10020384,3833328,2134336,1327660,1325587,2.997498798,1.003644231,0.383947115,0.213775641,0.132978766,0.132771134,,,,
10016000,30026071,10062031,3832190,2132460,1338475,1415820,2.997810603,1.004595747,0.382606829,0.212905351,0.133633686,0.141355831,,,,
,,,,,,,,,,,,,,,,
Wakeup delay calculated 0.072973,,,,,,,,,,,,,,,,
