reduction -- vector examples,,,,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4,  combine8_8 ,,,,,,,,  combine8_2,  combine8_4,  combine8_8 
1536000,4524384,1546850,637716,353700,285583,266863,2.9455625,1.007063802,0.415179688,0.230273438,0.185926432,0.173738932,,,,
1568000,4622145,1575792,649720,359676,289867,343740,2.947796556,1.004969388,0.414362245,0.229385204,0.184864158,0.219221939,,,,
1600000,4718037,1610181,661684,365688,294218,274922,2.948773125,1.006363125,0.4135525,0.228555,0.18388625,0.17182625,,,,
1632000,4815254,1645718,678002,371692,305700,351751,2.950523284,1.008405637,0.415442402,0.227752451,0.187316176,0.215533701,,,,
1664000,4908196,1670803,685720,384902,303000,282792,2.949637019,1.004088341,0.412091346,0.231311298,0.182091346,0.169947115,,,,
1696000,5006073,1705792,697696,383707,307344,359745,2.951693986,1.005773585,0.411377358,0.226242335,0.181216981,0.212113797,,,,
1728000,5102044,1740170,715932,389707,311676,296508,2.952571759,1.007042824,0.4143125,0.225524884,0.180368056,0.171590278,,,,
1760000,5204457,1769762,721848,395714,316056,367747,2.957077841,1.005546591,0.410140909,0.2248375,0.179577273,0.208947159,,,,
1792000,5295060,1800804,733718,401712,320412,298826,2.954832589,1.004912946,0.409440848,0.224169643,0.178801339,0.16675558,,,,
1824000,5390510,1835152,745699,407688,324792,375739,2.955323465,1.006114035,0.408826206,0.223513158,0.178065789,0.205997259,,,,
1856000,5486004,1867262,763809,421262,329136,306895,2.955821121,1.006067888,0.411535022,0.22697306,0.177336207,0.165352909,,,,
1888000,5585956,1899885,769720,419704,339314,383760,2.958663136,1.006295021,0.407690678,0.222300847,0.179721398,0.203262712,,,,
1920000,5678616,1925798,781720,425688,337867,315108,2.9576125,1.003019792,0.407145833,0.2217125,0.175972396,0.16411875,,,,
1952000,5775016,1964695,797472,431692,342240,399252,2.958512295,1.006503586,0.408540984,0.221153689,0.175327869,0.204534836,,,,
1984000,5876937,1997894,805704,437762,346610,322843,2.962165827,1.007003024,0.406100806,0.220646169,0.174702621,0.162723286,,,,
2016000,5965968,2027510,817696,443704,350959,399801,2.959309524,1.005709325,0.405603175,0.22009127,0.174086806,0.198313988,,,,
2048000,6065976,2060256,833515,520828,355327,330895,2.961902344,1.005984375,0.406989746,0.254310547,0.173499512,0.161569824,,,,
2080000,6162559,2090198,841713,455750,367312,407760,2.96276875,1.004902885,0.404669712,0.219110577,0.176592308,0.196038462,,,,
2112000,6256701,2127588,853704,461736,364056,338956,2.962453125,1.007380682,0.404215909,0.218625,0.172375,0.16049053,,,,
2144000,6353887,2150808,869438,467721,368402,422301,2.963566698,1.003175373,0.405521455,0.218153451,0.171829291,0.19696875,,,,
2176000,6446097,2186649,877725,473721,372777,346891,2.962360754,1.004893842,0.403366268,0.217702665,0.17131296,0.15941682,,,,
2208000,6546952,2220192,893997,487286,377140,423770,2.965105072,1.005521739,0.404889946,0.220691123,0.170806159,0.191924819,,,,
2240000,6642055,2250165,901704,485736,381511,356068,2.965203125,1.004537946,0.402546429,0.216846429,0.170317411,0.158958929,,,,
2272000,6737988,2285265,913699,491757,385864,431767,2.965663732,1.005838468,0.40215625,0.216442342,0.169834507,0.190038292,,,,
2304000,6833959,2315251,929983,497721,396624,362836,2.966128038,1.004883247,0.403638455,0.21602474,0.172145833,0.157480903,,,,
2336000,6930530,2347209,937728,503728,394648,439780,2.966836473,1.004798373,0.401424658,0.215636986,0.168941781,0.188261986,,,,
2368000,7020571,2380195,953709,514015,417348,370896,2.964768159,1.005149916,0.402748733,0.217067145,0.176244932,0.156628378,,,,
2400000,7122007,2410236,961728,515733,385824,447765,2.967502917,1.004265,0.40072,0.21488875,0.16076,0.18656875,,,,
2432000,7217575,2445264,973706,521757,389976,378801,2.967752878,1.005453947,0.400372533,0.21453824,0.160351974,0.15575699,,,,
2464000,7314969,2475175,990031,527726,394152,455820,2.968737419,1.004535308,0.401798295,0.214174513,0.159964286,0.184991883,,,,
2496000,7417051,2507268,997708,540614,405477,386805,2.97157492,1.004514423,0.399722756,0.216592147,0.162450721,0.154969952,,,,
2528000,7505947,2540232,1013724,539736,402504,471338,2.969124604,1.004838608,0.400998418,0.213503165,0.159218354,0.186446994,,,,
2560000,7603034,2570198,1021704,545774,406696,394855,2.969935156,1.003983594,0.399103125,0.213192969,0.158865625,0.154240234,,,,
2592000,7697145,2604708,1033720,551733,410829,471765,2.969577546,1.004902778,0.398811728,0.212859954,0.158498843,0.182008102,,,,
2624000,7793008,2638557,1049510,557764,415029,402933,2.969896341,1.005547637,0.399965701,0.2125625,0.15816654,0.153556784,,,,
2656000,7894528,2666918,1057723,568017,419212,479923,2.972337349,1.004110693,0.398239081,0.213861822,0.157835843,0.180693901,,,,
2688000,7985863,2699834,1074175,569743,429854,410887,2.970931176,1.00440253,0.399618676,0.211957961,0.159915923,0.152859747,,,,
2720000,8081875,2731096,1081716,575767,427528,494037,2.971277574,1.004079412,0.397689706,0.211679044,0.157179412,0.18163125,,,,
2752000,8190768,2765251,1098016,581738,431688,418836,2.976296512,1.004815044,0.398988372,0.211387355,0.156863372,0.152193314,,,,
2784000,8283074,2795210,1105696,592339,435873,495969,2.975242098,1.00402658,0.39716092,0.212765445,0.156563578,0.178149784,,,,
2816000,8383437,2826708,1122772,593738,440056,428085,2.977072798,1.003802557,0.398711648,0.21084446,0.156269886,0.152018821,,,,
2848000,8475048,2863663,1129713,599755,450016,504026,2.975789326,1.005499649,0.39666889,0.210588132,0.158011236,0.176975421,,,,
2880000,8567608,2892712,1145752,605726,448459,442056,2.974863889,1.004413889,0.397830556,0.210321528,0.155714931,0.153491667,,,,
2912000,8657001,2927745,1153725,619164,452584,511970,2.972871223,1.005406937,0.396196772,0.212625,0.15542033,0.175813874,,,,
2944000,8757552,2955172,1169740,617736,456753,444163,2.974711957,1.003794837,0.397330163,0.209828804,0.155147079,0.150870584,,,,
2976000,8857070,2987306,1177696,623738,460929,519859,2.976165995,1.003799059,0.395731183,0.209589382,0.154882056,0.174683804,,,,
3008000,8945251,3024480,1193628,632299,471264,452092,2.973820146,1.005478723,0.396817819,0.210205785,0.156670213,0.150296543,,,,
3040000,9046012,3050169,1201694,640048,469264,533625,2.975661842,1.003345066,0.395294079,0.210542105,0.154363158,0.175534539,,,,
3072000,9140733,3085286,1217683,641738,473421,460315,2.975499023,1.00432487,0.396381185,0.208899089,0.154108398,0.149842122,,,,
3104000,9237662,3118581,1225730,647733,477640,535953,2.976050902,1.004697487,0.394887242,0.208676869,0.153878866,0.172665271,,,,
3136000,9333736,3146968,1241728,660600,481776,468180,2.976318878,1.003497449,0.395959184,0.21065051,0.153627551,0.149292092,,,,
3168000,9433521,3180292,1249723,659743,494157,544017,2.977752841,1.003880051,0.39448327,0.20825221,0.155983902,0.171722538,,,,
3200000,9526077,3214024,1265678,665772,490137,482565,2.976899063,1.0043825,0.395524375,0.20805375,0.153167813,0.150801563,,,,
3232000,9621556,3245236,1273716,671745,494323,551884,2.976966584,1.004095297,0.394095297,0.207841894,0.152946473,0.170756188,,,,
3264000,9717585,3276048,1289966,683066,498489,484082,2.977201287,1.003691176,0.395210172,0.209272672,0.152723346,0.148309436,,,,
3296000,9814010,3310524,1297730,683731,502646,559893,2.977551578,1.004406553,0.393728762,0.207442658,0.15250182,0.169870449,,,,
3328000,9909168,3340202,1314062,689724,512553,497776,2.977514423,1.003666466,0.394850361,0.207248798,0.15401232,0.149572115,,,,
3360000,10007488,3370274,1321716,700620,511008,568152,2.978419048,1.003057738,0.393367857,0.208517857,0.152085714,0.169092857,,,,
3392000,10102183,3408897,1338043,701733,515181,500128,2.978237913,1.004981427,0.394470224,0.206878833,0.151881191,0.147443396,,,,
3424000,10200854,3435472,1345725,707719,519345,576093,2.979221379,1.003350467,0.393027161,0.206693633,0.151677862,0.16825146,,,,
3456000,10294096,3470623,1361472,713740,523567,508113,2.978615741,1.004231192,0.393944444,0.206521991,0.151495081,0.147023438,,,,
3488000,10388664,3500258,1373666,727221,534098,592843,2.978401376,1.003514335,0.393826261,0.208492259,0.153124427,0.169966456,,,,
3520000,10489730,3534844,1381723,725724,531878,516885,2.980036932,1.004217045,0.392534943,0.206171591,0.151101705,0.14684233,,,,
3552000,10581201,3567230,1398064,731757,536054,591919,2.978941723,1.004287725,0.393599099,0.206012669,0.150916104,0.166643863,,,,
3584000,10676824,3599176,1405706,742924,540213,524258,2.979024554,1.004234375,0.392217076,0.207289063,0.150729074,0.146277344,,,,
3616000,10777696,3626858,1422012,743745,552091,609098,2.980557522,1.003002765,0.393255531,0.205681692,0.152680033,0.168445243,,,,
3648000,10868618,3663532,1434516,749719,548580,532113,2.979336075,1.004257675,0.393233553,0.205515077,0.150378289,0.145864309,,,,
3680000,10972576,3690158,1441728,760713,552777,608116,2.981678261,1.002760326,0.391773913,0.206715489,0.150211141,0.165248913,,,,
3712000,11064264,3730022,1458060,761757,556941,540194,2.980674569,1.004855065,0.392796336,0.205214709,0.150037985,0.145526401,,,,
3744000,11157535,3755198,1465720,767743,561153,619951,2.980110844,1.002990919,0.391485043,0.205059562,0.149880609,0.165585203,,,,
3776000,11257032,3791030,1482072,781051,571958,548289,2.981205508,1.003980403,0.392497881,0.206846133,0.151471928,0.145203655,,,,
3808000,11353195,3824181,1493692,779757,569484,623904,2.98140625,1.004249212,0.39225105,0.20476812,0.14954937,0.163840336,,,,
3840000,11444920,3850308,1501728,785764,573640,556104,2.980447917,1.002684375,0.391075,0.204626042,0.149385417,0.14481875,,,,
3872000,11544350,3889164,1518024,796651,577821,638575,2.981495351,1.004432851,0.392051653,0.205746643,0.14923063,0.164921229,,,,
3904000,11641094,3915240,1525756,797776,588105,564691,2.981837602,1.002879098,0.390818648,0.204348361,0.15064165,0.144644211,,,,
3936000,11737087,3951748,1541529,803760,586197,640106,2.981983486,1.004001016,0.391648628,0.204207317,0.148932165,0.162628557,,,,
3968000,11833617,3983731,1554088,814029,604994,572090,2.982262349,1.003964466,0.391655242,0.205148438,0.152468246,0.144175907,,,,
4000000,11928338,4010188,1561742,815781,569755,653793,2.9820845,1.002547,0.3904355,0.20394525,0.14243875,0.16344825,,,,
4032000,12025260,4051550,1577606,824215,579811,580418,2.982455357,1.00484871,0.391271329,0.204418403,0.143802331,0.143952877,,,,
4064000,12122784,4078634,1590069,836522,577766,655819,2.982968504,1.003600886,0.391257136,0.205837106,0.142166831,0.161372785,,,,
4096000,12217440,4107235,1597747,833774,581738,588835,2.982773438,1.00274292,0.390074951,0.203558105,0.142025879,0.143758545,,,,
4128000,12312309,4143912,1613584,839745,585751,669931,2.982632994,1.003854651,0.390887597,0.203426599,0.141897045,0.162289486,,,,
4160000,12409531,4173624,1626878,852775,596664,596251,2.983060337,1.003275,0.391076442,0.20499399,0.143428846,0.143329567,,,,
4192000,12508046,4209182,1633735,851781,593738,672148,2.983789599,1.00409876,0.389726861,0.203192032,0.141635973,0.160340649,,,,
