reduction -- vector examples,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_4 ,,,,,, combine4, combine6_5, combine8,  combine8_4 
8928000,26769705,8960491,3435040,1215456,2.998398858,1.003639225,0.384749104,0.136139785,,,,,
8960000,26857752,8995077,3442838,1228420,2.997516964,1.003914844,0.384245313,0.137100446,,,,,
8992000,26956003,9029517,3459626,1228120,2.997776134,1.004172264,0.384744884,0.136579181,,,,,
9024000,27045979,9059426,3466915,1236544,2.997116467,1.003925754,0.384188276,0.137028369,,,,,
9056000,27145406,9091358,3478922,1236396,2.99750508,1.003904373,0.384156581,0.136527827,,,,,
9088000,27237235,9122848,3494642,1247044,2.997054908,1.003834507,0.384533671,0.13721875,,,,,
9120000,27333496,9154315,3502927,1244222,2.99709386,1.00376261,0.384092873,0.136427851,,,,,
9152000,27430531,9190658,3518467,1252653,2.997217111,1.004223995,0.38444788,0.13687205,,,,,
9184000,27529581,9219156,3526435,1252209,2.997558907,1.003827962,0.383975936,0.136346799,,,,,
9216000,27625382,9250963,3543698,1261154,2.99754579,1.003793728,0.384515842,0.136843967,,,,,
9248000,27714321,9284469,3551049,1260643,2.996790766,1.003943447,0.383980212,0.136315203,,,,,
9280000,27815608,9310024,3566464,1269172,2.997371552,1.003235345,0.384317241,0.136764224,,,,,
9312000,27923217,9350047,3574716,1273394,2.998627255,1.004085803,0.383882732,0.136747637,,,,,
9344000,28009262,9379713,3590445,1272758,2.997566567,1.003822025,0.384251391,0.136211259,,,,,
9376000,28102387,9412538,3598946,1281945,2.997268238,1.003896971,0.38384663,0.136726216,,,,,
9408000,28198332,9444566,3614076,1280752,2.997271684,1.003886692,0.384149235,0.136134354,,,,,
9440000,28294641,9475593,3626179,1289947,2.997313665,1.003770445,0.384129131,0.136646928,,,,,
9472000,28393464,9510028,3638635,1288377,2.997620777,1.00401478,0.384146432,0.136019531,,,,,
9504000,28487268,9541658,3646956,1297303,2.997397727,1.003962332,0.383728535,0.136500737,,,,,
9536000,28582286,9570434,3664771,1296998,2.997303482,1.003610948,0.384309039,0.136010696,,,,,
9568000,28681063,9605164,3670732,1306483,2.997602738,1.003884197,0.383646739,0.136547136,,,,,
9600000,28777843,9634020,3686476,1305040,2.997691979,1.00354375,0.384007917,0.135941667,,,,,
9632000,28870332,9669715,3694826,1313659,2.997335133,1.003915594,0.383599045,0.136384863,,,,,
9664000,28967234,9698827,3711909,1313323,2.997437293,1.003603787,0.384096544,0.135898489,,,,,
9696000,29070069,9729892,3722882,1322407,2.998150681,1.003495462,0.383960602,0.136386861,,,,,
9728000,29161260,9765096,3730742,1326463,2.997662418,1.003813322,0.383505551,0.13635516,,,,,
9760000,29256897,9796766,3746822,1325673,2.997632889,1.003767008,0.383895697,0.135827152,,,,,
9792000,29354414,9829168,3754932,1334666,2.997795547,1.003795752,0.383469363,0.136301675,,,,,
9824000,29451074,9859826,3770757,1317542,2.99786991,1.003646783,0.383831128,0.134114617,,,,,
9856000,29547268,9894420,3779251,1326583,2.99789651,1.003898133,0.383446733,0.134596489,,,,,
9888000,29663817,9927211,3796346,1325532,2.999981493,1.003965514,0.383934668,0.134054612,,,,,
9920000,29734466,9953964,3807753,1335945,2.997426008,1.00342379,0.383846069,0.134671875,,,,,
9952000,29831210,9988708,3814932,1333651,2.997509043,1.003688505,0.383333199,0.13400834,,,,,
9984000,29952691,10019896,3829896,1343515,3.000069211,1.003595353,0.383603365,0.134566807,,,,,
10016000,30025269,10050288,3824299,1349916,2.997730531,1.003423323,0.38181899,0.134775958,,,,,
,,,,,2.99070412,1.007317234,2.521125,,,,,,
Wakeup delay calculated 0.072973,,,,,,,,,,,,,
