dot product examples,,,,,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,,,,,,
testing option 6,,,,,,,,,,,,,,,,,
testing option 7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Computed dot products:,,,,,,,,,,,,,,,,,
size, dot4, dot5, dot6_2, dot6_5, dot8, dot8_2, dot8_4, dot8_8,,,,,,,,,
5920,3.43E+10,3.43E+10,3.43E+10,3.43E+10,3.43E+10,3.43E+10,3.15E+10,3.43E+10,,,,,,,,,
5952,3.48E+10,3.48E+10,3.48E+10,3.48E+10,3.48E+10,3.48E+10,3.20E+10,3.48E+10,,,,,,,,,
5984,3.54E+10,3.54E+10,3.54E+10,3.54E+10,3.54E+10,3.54E+10,3.25E+10,3.54E+10,,,,,,,,,
6016,3.60E+10,3.60E+10,3.60E+10,3.60E+10,3.60E+10,3.60E+10,3.30E+10,3.60E+10,,,,,,,,,
6048,3.65E+10,3.65E+10,3.65E+10,3.65E+10,3.65E+10,3.65E+10,3.36E+10,3.65E+10,,,,,,,,,
6080,3.73E+10,3.73E+10,3.73E+10,3.73E+10,3.73E+10,3.73E+10,3.43E+10,3.73E+10,,,,,,,,,
6112,3.78E+10,3.78E+10,3.78E+10,3.78E+10,3.78E+10,3.78E+10,3.48E+10,3.78E+10,,,,,,,,,
6144,3.83E+10,3.83E+10,3.83E+10,3.83E+10,3.83E+10,3.83E+10,3.52E+10,3.83E+10,,,,,,,,,
6176,3.88E+10,3.88E+10,3.88E+10,3.88E+10,3.88E+10,3.88E+10,3.57E+10,3.88E+10,,,,,,,,,
6208,3.95E+10,3.95E+10,3.95E+10,3.95E+10,3.95E+10,3.95E+10,3.63E+10,3.95E+10,,,,,,,,,
6240,4.01E+10,4.01E+10,4.01E+10,4.01E+10,4.01E+10,4.01E+10,3.68E+10,4.01E+10,,,,,,,,,
6272,4.06E+10,4.06E+10,4.06E+10,4.06E+10,4.06E+10,4.06E+10,3.73E+10,4.06E+10,,,,,,,,,
6304,4.12E+10,4.12E+10,4.12E+10,4.12E+10,4.12E+10,4.12E+10,3.78E+10,4.12E+10,,,,,,,,,
6336,4.19E+10,4.19E+10,4.19E+10,4.19E+10,4.19E+10,4.19E+10,3.84E+10,4.19E+10,,,,,,,,,
6368,4.26E+10,4.26E+10,4.26E+10,4.26E+10,4.26E+10,4.26E+10,3.91E+10,4.26E+10,,,,,,,,,
6400,4.32E+10,4.32E+10,4.32E+10,4.32E+10,4.32E+10,4.32E+10,3.97E+10,4.32E+10,,,,,,,,,
6432,4.39E+10,4.39E+10,4.39E+10,4.39E+10,4.39E+10,4.39E+10,4.03E+10,4.39E+10,,,,,,,,,
6464,4.46E+10,4.46E+10,4.46E+10,4.46E+10,4.46E+10,4.46E+10,4.09E+10,4.46E+10,,,,,,,,,
6496,4.52E+10,4.52E+10,4.52E+10,4.52E+10,4.52E+10,4.52E+10,4.15E+10,4.52E+10,,,,,,,,,
6528,4.58E+10,4.58E+10,4.58E+10,4.58E+10,4.58E+10,4.58E+10,4.21E+10,4.58E+10,,,,,,,,,
6560,4.64E+10,4.64E+10,4.64E+10,4.64E+10,4.64E+10,4.64E+10,4.26E+10,4.64E+10,,,,,,,,,
6592,4.71E+10,4.71E+10,4.71E+10,4.71E+10,4.71E+10,4.71E+10,4.33E+10,4.71E+10,,,,,,,,,
6624,4.77E+10,4.77E+10,4.77E+10,4.77E+10,4.77E+10,4.77E+10,4.38E+10,4.77E+10,,,,,,,,,
6656,4.83E+10,4.83E+10,4.83E+10,4.83E+10,4.83E+10,4.83E+10,4.43E+10,4.83E+10,,,,,,,,,
6688,4.91E+10,4.91E+10,4.91E+10,4.91E+10,4.91E+10,4.91E+10,4.50E+10,4.91E+10,,,,,,,,,
6720,4.98E+10,4.98E+10,4.98E+10,4.98E+10,4.98E+10,4.98E+10,4.57E+10,4.98E+10,,,,,,,,,
6752,5.05E+10,5.05E+10,5.05E+10,5.05E+10,5.05E+10,5.05E+10,4.63E+10,5.05E+10,,,,,,,,,
6784,5.11E+10,5.11E+10,5.11E+10,5.11E+10,5.11E+10,5.11E+10,4.69E+10,5.11E+10,,,,,,,,,
6816,5.19E+10,5.19E+10,5.19E+10,5.19E+10,5.19E+10,5.19E+10,4.76E+10,5.19E+10,,,,,,,,,
6848,5.27E+10,5.27E+10,5.27E+10,5.27E+10,5.27E+10,5.27E+10,4.84E+10,5.27E+10,,,,,,,,,
6880,5.35E+10,5.35E+10,5.35E+10,5.35E+10,5.35E+10,5.35E+10,4.91E+10,5.35E+10,,,,,,,,,
6912,5.43E+10,5.43E+10,5.43E+10,5.43E+10,5.43E+10,5.43E+10,4.98E+10,5.43E+10,,,,,,,,,
6944,5.50E+10,5.50E+10,5.50E+10,5.50E+10,5.50E+10,5.50E+10,5.04E+10,5.50E+10,,,,,,,,,
6976,5.58E+10,5.58E+10,5.58E+10,5.58E+10,5.58E+10,5.58E+10,5.12E+10,5.58E+10,,,,,,,,,
7008,5.66E+10,5.66E+10,5.66E+10,5.66E+10,5.66E+10,5.66E+10,5.19E+10,5.66E+10,,,,,,,,,
7040,5.74E+10,5.74E+10,5.74E+10,5.74E+10,5.74E+10,5.74E+10,5.27E+10,5.74E+10,,,,,,,,,
7072,5.82E+10,5.82E+10,5.82E+10,5.82E+10,5.82E+10,5.82E+10,5.34E+10,5.82E+10,,,,,,,,,
7104,5.90E+10,5.90E+10,5.90E+10,5.90E+10,5.90E+10,5.90E+10,5.40E+10,5.90E+10,,,,,,,,,
7136,5.97E+10,5.97E+10,5.97E+10,5.97E+10,5.97E+10,5.97E+10,5.48E+10,5.97E+10,,,,,,,,,
7168,6.07E+10,6.07E+10,6.07E+10,6.07E+10,6.07E+10,6.07E+10,5.57E+10,6.07E+10,,,,,,,,,
7200,6.17E+10,6.17E+10,6.17E+10,6.17E+10,6.17E+10,6.17E+10,5.66E+10,6.17E+10,,,,,,,,,
7232,6.24E+10,6.24E+10,6.24E+10,6.24E+10,6.24E+10,6.24E+10,5.72E+10,6.24E+10,,,,,,,,,
7264,6.32E+10,6.32E+10,6.32E+10,6.32E+10,6.32E+10,6.32E+10,5.79E+10,6.32E+10,,,,,,,,,
7296,6.41E+10,6.41E+10,6.41E+10,6.41E+10,6.41E+10,6.41E+10,5.87E+10,6.41E+10,,,,,,,,,
7328,6.49E+10,6.49E+10,6.49E+10,6.49E+10,6.49E+10,6.49E+10,5.96E+10,6.49E+10,,,,,,,,,
7360,6.58E+10,6.58E+10,6.58E+10,6.58E+10,6.58E+10,6.58E+10,6.04E+10,6.58E+10,,,,,,,,,
7392,6.67E+10,6.67E+10,6.67E+10,6.67E+10,6.67E+10,6.67E+10,6.11E+10,6.67E+10,,,,,,,,,
7424,6.74E+10,6.74E+10,6.74E+10,6.74E+10,6.74E+10,6.74E+10,6.18E+10,6.74E+10,,,,,,,,,
7456,6.83E+10,6.83E+10,6.83E+10,6.83E+10,6.83E+10,6.83E+10,6.26E+10,6.83E+10,,,,,,,,,
7488,6.93E+10,6.93E+10,6.93E+10,6.93E+10,6.93E+10,6.93E+10,6.35E+10,6.93E+10,,,,,,,,,
7520,7.03E+10,7.03E+10,7.03E+10,7.03E+10,7.03E+10,7.03E+10,6.45E+10,7.03E+10,,,,,,,,,
7552,7.11E+10,7.11E+10,7.11E+10,7.11E+10,7.11E+10,7.11E+10,6.52E+10,7.11E+10,,,,,,,,,
7584,7.19E+10,7.19E+10,7.19E+10,7.19E+10,7.19E+10,7.19E+10,6.60E+10,7.19E+10,,,,,,,,,
7616,7.29E+10,7.29E+10,7.29E+10,7.29E+10,7.29E+10,7.29E+10,6.68E+10,7.29E+10,,,,,,,,,
7648,7.39E+10,7.39E+10,7.39E+10,7.39E+10,7.39E+10,7.39E+10,6.78E+10,7.39E+10,,,,,,,,,
7680,7.49E+10,7.49E+10,7.49E+10,7.49E+10,7.49E+10,7.49E+10,6.87E+10,7.49E+10,,,,,,,,,
7712,7.57E+10,7.57E+10,7.57E+10,7.57E+10,7.57E+10,7.57E+10,6.94E+10,7.57E+10,,,,,,,,,
7744,7.66E+10,7.66E+10,7.66E+10,7.66E+10,7.66E+10,7.66E+10,7.03E+10,7.66E+10,,,,,,,,,
7776,7.77E+10,7.77E+10,7.77E+10,7.77E+10,7.77E+10,7.77E+10,7.13E+10,7.77E+10,,,,,,,,,
7808,7.86E+10,7.86E+10,7.86E+10,7.86E+10,7.86E+10,7.86E+10,7.20E+10,7.86E+10,,,,,,,,,
7840,7.95E+10,7.95E+10,7.95E+10,7.95E+10,7.95E+10,7.95E+10,7.29E+10,7.95E+10,,,,,,,,,
7872,8.04E+10,8.04E+10,8.04E+10,8.04E+10,8.04E+10,8.04E+10,7.37E+10,8.04E+10,,,,,,,,,
7904,8.13E+10,8.13E+10,8.13E+10,8.13E+10,8.13E+10,8.13E+10,7.46E+10,8.13E+10,,,,,,,,,
7936,8.24E+10,8.24E+10,8.24E+10,8.24E+10,8.24E+10,8.24E+10,7.55E+10,8.24E+10,,,,,,,,,
7968,8.33E+10,8.33E+10,8.33E+10,8.33E+10,8.33E+10,8.33E+10,7.64E+10,8.33E+10,,,,,,,,,
8000,8.43E+10,8.43E+10,8.43E+10,8.43E+10,8.43E+10,8.43E+10,7.73E+10,8.43E+10,,,,,,,,,
8032,8.53E+10,8.53E+10,8.53E+10,8.53E+10,8.53E+10,8.53E+10,7.82E+10,8.53E+10,,,,,,,,,
8064,8.65E+10,8.65E+10,8.65E+10,8.65E+10,8.65E+10,8.65E+10,7.94E+10,8.65E+10,,,,,,,,,
8096,8.74E+10,8.74E+10,8.74E+10,8.74E+10,8.74E+10,8.74E+10,8.01E+10,8.74E+10,,,,,,,,,
8128,8.85E+10,8.85E+10,8.85E+10,8.85E+10,8.85E+10,8.85E+10,8.12E+10,8.85E+10,,,,,,,,,
8160,8.94E+10,8.94E+10,8.94E+10,8.94E+10,8.94E+10,8.94E+10,8.20E+10,8.94E+10,,,,,,,,,
8192,9.05E+10,9.05E+10,9.05E+10,9.05E+10,9.05E+10,9.05E+10,8.30E+10,9.05E+10,,,,,,,,,
8224,9.16E+10,9.16E+10,9.16E+10,9.16E+10,9.16E+10,9.16E+10,8.40E+10,9.16E+10,,,,,,,,,
8256,9.27E+10,9.27E+10,9.27E+10,9.27E+10,9.27E+10,9.27E+10,8.50E+10,9.27E+10,,,,,,,,,
8288,9.39E+10,9.39E+10,9.39E+10,9.39E+10,9.39E+10,9.39E+10,8.62E+10,9.39E+10,,,,,,,,,
8320,9.51E+10,9.51E+10,9.51E+10,9.51E+10,9.51E+10,9.51E+10,8.73E+10,9.51E+10,,,,,,,,,
8352,9.62E+10,9.62E+10,9.62E+10,9.62E+10,9.62E+10,9.62E+10,8.83E+10,9.62E+10,,,,,,,,,
8384,9.72E+10,9.72E+10,9.72E+10,9.72E+10,9.72E+10,9.72E+10,8.92E+10,9.72E+10,,,,,,,,,
8416,9.82E+10,9.82E+10,9.82E+10,9.82E+10,9.82E+10,9.82E+10,9.01E+10,9.82E+10,,,,,,,,,
8448,9.95E+10,9.95E+10,9.95E+10,9.95E+10,9.95E+10,9.95E+10,9.13E+10,9.95E+10,,,,,,,,,
8480,1.01E+11,1.01E+11,1.01E+11,1.01E+11,1.01E+11,1.01E+11,9.23E+10,1.01E+11,,,,,,,,,
8512,1.02E+11,1.02E+11,1.02E+11,1.02E+11,1.02E+11,1.02E+11,9.35E+10,1.02E+11,,,,,,,,,
8544,1.03E+11,1.03E+11,1.03E+11,1.03E+11,1.03E+11,1.03E+11,9.46E+10,1.03E+11,,,,,,,,,
8576,1.04E+11,1.04E+11,1.04E+11,1.04E+11,1.04E+11,1.04E+11,9.58E+10,1.04E+11,,,,,,,,,
8608,1.06E+11,1.06E+11,1.06E+11,1.06E+11,1.06E+11,1.06E+11,9.70E+10,1.06E+11,,,,,,,,,
8640,1.07E+11,1.07E+11,1.07E+11,1.07E+11,1.07E+11,1.07E+11,9.81E+10,1.07E+11,,,,,,,,,
8672,1.08E+11,1.08E+11,1.08E+11,1.08E+11,1.08E+11,1.08E+11,9.89E+10,1.08E+11,,,,,,,,,
8704,1.09E+11,1.09E+11,1.09E+11,1.09E+11,1.09E+11,1.09E+11,9.99E+10,1.09E+11,,,,,,,,,
8736,1.10E+11,1.10E+11,1.10E+11,1.10E+11,1.10E+11,1.10E+11,1.01E+11,1.10E+11,,,,,,,,,
8768,1.11E+11,1.11E+11,1.11E+11,1.11E+11,1.11E+11,1.11E+11,1.02E+11,1.11E+11,,,,,,,,,
8800,1.12E+11,1.12E+11,1.12E+11,1.12E+11,1.12E+11,1.12E+11,1.03E+11,1.12E+11,,,,,,,,,
8832,1.14E+11,1.14E+11,1.14E+11,1.14E+11,1.14E+11,1.14E+11,1.04E+11,1.14E+11,,,,,,,,,
8864,1.15E+11,1.15E+11,1.15E+11,1.15E+11,1.15E+11,1.15E+11,1.06E+11,1.15E+11,,,,,,,,,
8896,1.16E+11,1.16E+11,1.16E+11,1.16E+11,1.16E+11,1.16E+11,1.07E+11,1.16E+11,,,,,,,,,
8928,1.17E+11,1.17E+11,1.17E+11,1.17E+11,1.17E+11,1.17E+11,1.08E+11,1.17E+11,,,,,,,,,
8960,1.19E+11,1.19E+11,1.19E+11,1.19E+11,1.19E+11,1.19E+11,1.09E+11,1.19E+11,,,,,,,,,
8992,1.20E+11,1.20E+11,1.20E+11,1.20E+11,1.20E+11,1.20E+11,1.10E+11,1.20E+11,,,,,,,,,
9024,1.21E+11,1.21E+11,1.21E+11,1.21E+11,1.21E+11,1.21E+11,1.11E+11,1.21E+11,,,,,,,,,
9056,1.22E+11,1.22E+11,1.22E+11,1.22E+11,1.22E+11,1.22E+11,1.12E+11,1.22E+11,,,,,,,,,
9088,1.24E+11,1.24E+11,1.24E+11,1.24E+11,1.24E+11,1.24E+11,1.14E+11,1.24E+11,,,,,,,,,
9120,1.25E+11,1.25E+11,1.25E+11,1.25E+11,1.25E+11,1.25E+11,1.15E+11,1.25E+11,,,,,,,,,
9152,1.26E+11,1.26E+11,1.26E+11,1.26E+11,1.26E+11,1.26E+11,1.16E+11,1.26E+11,,,,,,,,,
9184,1.28E+11,1.28E+11,1.28E+11,1.28E+11,1.28E+11,1.28E+11,1.17E+11,1.28E+11,,,,,,,,,
9216,1.29E+11,1.29E+11,1.29E+11,1.29E+11,1.29E+11,1.29E+11,1.18E+11,1.29E+11,,,,,,,,,
9248,1.30E+11,1.30E+11,1.30E+11,1.30E+11,1.30E+11,1.30E+11,1.20E+11,1.30E+11,,,,,,,,,
9280,1.32E+11,1.32E+11,1.32E+11,1.32E+11,1.32E+11,1.32E+11,1.21E+11,1.32E+11,,,,,,,,,
9312,1.33E+11,1.33E+11,1.33E+11,1.33E+11,1.33E+11,1.33E+11,1.22E+11,1.33E+11,,,,,,,,,
9344,1.34E+11,1.34E+11,1.34E+11,1.34E+11,1.34E+11,1.34E+11,1.23E+11,1.34E+11,,,,,,,,,
9376,1.36E+11,1.36E+11,1.36E+11,1.36E+11,1.36E+11,1.36E+11,1.24E+11,1.36E+11,,,,,,,,,
9408,1.37E+11,1.37E+11,1.37E+11,1.37E+11,1.37E+11,1.37E+11,1.26E+11,1.37E+11,,,,,,,,,
9440,1.39E+11,1.39E+11,1.39E+11,1.39E+11,1.39E+11,1.39E+11,1.27E+11,1.39E+11,,,,,,,,,
9472,1.40E+11,1.40E+11,1.40E+11,1.40E+11,1.40E+11,1.40E+11,1.28E+11,1.40E+11,,,,,,,,,
9504,1.41E+11,1.41E+11,1.41E+11,1.41E+11,1.41E+11,1.41E+11,1.30E+11,1.41E+11,,,,,,,,,
9536,1.43E+11,1.43E+11,1.43E+11,1.43E+11,1.43E+11,1.43E+11,1.31E+11,1.43E+11,,,,,,,,,
9568,1.44E+11,1.44E+11,1.44E+11,1.44E+11,1.44E+11,1.44E+11,1.32E+11,1.44E+11,,,,,,,,,
9600,1.45E+11,1.45E+11,1.45E+11,1.45E+11,1.45E+11,1.45E+11,1.33E+11,1.45E+11,,,,,,,,,
9632,1.47E+11,1.47E+11,1.47E+11,1.47E+11,1.47E+11,1.47E+11,1.35E+11,1.47E+11,,,,,,,,,
9664,1.48E+11,1.48E+11,1.48E+11,1.48E+11,1.48E+11,1.48E+11,1.36E+11,1.48E+11,,,,,,,,,
9696,1.50E+11,1.50E+11,1.50E+11,1.50E+11,1.50E+11,1.50E+11,1.37E+11,1.50E+11,,,,,,,,,
9728,1.51E+11,1.51E+11,1.51E+11,1.51E+11,1.51E+11,1.51E+11,1.38E+11,1.51E+11,,,,,,,,,
9760,1.53E+11,1.53E+11,1.53E+11,1.53E+11,1.53E+11,1.53E+11,1.40E+11,1.53E+11,,,,,,,,,
9792,1.54E+11,1.54E+11,1.54E+11,1.54E+11,1.54E+11,1.54E+11,1.41E+11,1.54E+11,,,,,,,,,
9824,1.56E+11,1.56E+11,1.56E+11,1.56E+11,1.56E+11,1.56E+11,1.43E+11,1.56E+11,,,,,,,,,
9856,1.57E+11,1.57E+11,1.57E+11,1.57E+11,1.57E+11,1.57E+11,1.44E+11,1.57E+11,,,,,,,,,
9888,1.59E+11,1.59E+11,1.59E+11,1.59E+11,1.59E+11,1.59E+11,1.46E+11,1.59E+11,,,,,,,,,
9920,1.60E+11,1.60E+11,1.60E+11,1.60E+11,1.60E+11,1.60E+11,1.47E+11,1.60E+11,,,,,,,,,
9952,1.62E+11,1.62E+11,1.62E+11,1.62E+11,1.62E+11,1.62E+11,1.49E+11,1.62E+11,,,,,,,,,
9984,1.64E+11,1.64E+11,1.64E+11,1.64E+11,1.64E+11,1.64E+11,1.50E+11,1.64E+11,,,,,,,,,
10016,1.65E+11,1.65E+11,1.65E+11,1.65E+11,1.65E+11,1.65E+11,1.52E+11,1.65E+11,,,,,,,,,
,,,,,,,,,,,,,,,,,
Execution times (in estimated CPU cycles):,,,,,,,,,,,,,,,,,
size*OUTER_LOOPS, dot4, dot5, dot6_2, dot6_5, dot8, dot8_2,,,,,,,,,,,
32000,69936,48564,40124,37530,67518,60208,63808,94582,,2.1855,1.517625,1.253875,1.1728125,2.1099375,1.8815,1.994,2.9556875
64000,134682,93032,76424,65860,71508,65844,68554,77954,,2.10440625,1.453625,1.194125,1.0290625,1.1173125,1.0288125,1.07115625,1.21803125
96000,213590,143172,126884,90070,81458,70168,70422,102062,,2.224895833,1.491375,1.321708333,0.938229167,0.848520833,0.730916667,0.7335625,1.063145833
128000,297830,183142,170144,118294,91476,74776,72812,82288,,2.326796875,1.430796875,1.32925,0.924171875,0.71465625,0.5841875,0.56884375,0.642875
160000,374640,223138,205716,142492,101444,79782,76124,112136,,2.3415,1.3946125,1.285725,0.890575,0.634025,0.4986375,0.475775,0.70085
192000,453622,263154,246176,186422,111508,84784,79484,88968,,2.362614583,1.37059375,1.282166667,0.970947917,0.580770833,0.441583333,0.413979167,0.463375
224000,534834,303180,285776,215368,121424,90036,82804,125344,,2.387651786,1.353482143,1.275785714,0.961464286,0.542071429,0.401946429,0.369660714,0.559571429
256000,617644,343186,325560,243232,131440,95178,86488,99148,,2.412671875,1.340570313,1.27171875,0.950125,0.5134375,0.371789063,0.33784375,0.387296875
288000,693644,383136,365838,266272,141478,100374,93898,145698,,2.408486111,1.330333333,1.270270833,0.924555556,0.491243056,0.348520833,0.326034722,0.505895833
320000,772986,427046,406056,293658,151424,105534,93520,102328,,2.41558125,1.33451875,1.268925,0.91768125,0.4732,0.32979375,0.29225,0.319775
352000,859352,463154,450148,319868,161436,114210,96834,159856,,2.441340909,1.315778409,1.278829545,0.908715909,0.458625,0.324460227,0.275096591,0.454136364
384000,933606,503140,486076,348782,171432,115478,100418,109008,,2.431265625,1.310260417,1.265822917,0.908286458,0.4464375,0.300723958,0.261505208,0.283875
416000,1017144,543152,525828,372030,181438,120412,104166,166510,,2.445057692,1.305653846,1.264009615,0.894302885,0.436149038,0.289451923,0.250399038,0.400264423
448000,1094662,586886,566044,406248,191444,125408,107540,115674,,2.443441964,1.310013393,1.263491071,0.906803571,0.427330357,0.279928571,0.240044643,0.258200893
480000,1177440,623150,609152,426982,206206,130536,110804,173188,,2.453,1.298229167,1.269066667,0.889545833,0.429595833,0.27195,0.230841667,0.360808333
512000,1258294,663170,646030,452066,211452,135518,113822,122284,,2.457605469,1.295253906,1.261777344,0.882941406,0.412992188,0.264683594,0.222308594,0.238835938
544000,1333640,707000,685782,481888,221432,140456,116848,179850,,2.451544118,1.299632353,1.260628676,0.885823529,0.407044118,0.258191176,0.214794118,0.330606618
576000,1417482,743168,729948,505368,231430,145364,120168,129014,,2.46090625,1.290222222,1.267270833,0.877375,0.401788194,0.252368056,0.208625,0.223982639
608000,1498444,783152,765462,536014,241426,150446,123302,186518,,2.464546053,1.288078947,1.258983553,0.881601974,0.397082237,0.247444079,0.202799342,0.306773026
640000,1573852,826370,810836,560210,251450,155434,126548,135674,,2.45914375,1.291203125,1.26693125,0.875328125,0.392890625,0.242865625,0.19773125,0.211990625
672000,1659336,863172,845890,586434,261476,160400,129868,196644,,2.46925,1.284482143,1.258764881,0.872669643,0.38910119,0.238690476,0.193255952,0.292625
704000,1737716,907718,885798,619122,271440,164788,133162,142390,,2.468346591,1.289372159,1.258235795,0.879434659,0.385568182,0.234073864,0.189150568,0.202258523
736000,1817444,943166,928870,638476,285086,169768,136500,199876,,2.469353261,1.281475543,1.26205163,0.867494565,0.387345109,0.230663043,0.185461957,0.271570652
768000,1897334,987002,965902,666412,291460,178222,139818,149022,,2.470486979,1.285158854,1.257684896,0.867723958,0.379505208,0.232059896,0.182054688,0.194039063
800000,1978742,1023178,1009272,697420,301430,179802,143154,206552,,2.4734275,1.2789725,1.26159,0.871775,0.3767875,0.2247525,0.1789425,0.25819
832000,2058184,1066996,1046526,719800,311436,184830,150448,155688,,2.473778846,1.282447115,1.25784375,0.865144231,0.374322115,0.222151442,0.180826923,0.187125
864000,2137272,1103146,1089096,748658,321480,189812,149848,213222,,2.473694444,1.276789352,1.260527778,0.866502315,0.372083333,0.219689815,0.173435185,0.246784722
896000,2218406,1147016,1129046,775806,331448,194768,153164,162318,,2.475899554,1.280151786,1.260095982,0.865854911,0.369919643,0.217375,0.170941964,0.181158482
928000,2298362,1183164,1165894,799694,344818,199786,156490,219890,,2.47668319,1.274961207,1.256351293,0.861739224,0.371571121,0.215286638,0.168631466,0.236950431
960000,2380064,1226438,1209790,830662,351460,204762,159832,169062,,2.479233333,1.277539583,1.260197917,0.865272917,0.366104167,0.21329375,0.166491667,0.17610625
992000,2457090,1266950,1246002,852820,361442,209786,163170,226554,,2.476905242,1.277167339,1.256050403,0.859697581,0.364356855,0.211477823,0.164485887,0.228381048
1024000,2537838,1303172,1289048,879906,371440,214792,166512,179408,,2.478357422,1.272628906,1.258835938,0.859283203,0.362734375,0.209757813,0.162609375,0.175203125
1056000,2617394,1346502,1329912,909268,381444,219788,169846,233190,,2.478592803,1.275096591,1.259386364,0.861049242,0.361215909,0.208132576,0.160839015,0.220823864
1088000,2701020,1386982,1366372,936316,391442,228490,173204,182428,,2.482555147,1.274799632,1.255856618,0.860584559,0.35978125,0.210009191,0.159194853,0.167672794
1120000,2777554,1423164,1408858,964290,405088,229842,176562,239876,,2.479958929,1.270682143,1.257908929,0.860973214,0.361685714,0.205216071,0.157644643,0.214175
1152000,2862096,1466356,1450592,986604,411458,234810,183192,189032,,2.484458333,1.272878472,1.259194444,0.856427083,0.357168403,0.203828125,0.159020833,0.164090278
1184000,2937606,1506982,1491628,1019068,421432,239794,183244,246530,,2.481086149,1.272788851,1.259820946,0.860699324,0.355939189,0.202528716,0.154766892,0.208217905
1216000,3021004,1547698,1526158,1039690,431438,244792,190350,195710,,2.484378289,1.272777961,1.255064145,0.855008224,0.354800987,0.201309211,0.156537829,0.160945724
1248000,3100610,1588242,1571448,1073056,444796,250306,189866,253270,,2.484463141,1.272629808,1.259173077,0.859820513,0.356407051,0.200565705,0.152136218,0.202940705
1280000,3182306,1623188,1612026,1094606,451454,254784,193280,202354,,2.486176563,1.268115625,1.259395313,0.855160938,0.352698438,0.19905,0.151,0.158089063
1312000,3257964,1666466,1651426,1123700,461434,260264,196562,263590,,2.483204268,1.270172256,1.258708841,0.856478659,0.351702744,0.198371951,0.149818598,0.200907012
1344000,3343318,1706922,1691212,1152876,471452,268542,203478,209046,,2.487587798,1.27003125,1.258342262,0.857794643,0.350782738,0.199808036,0.151397321,0.155540179
1376000,3420344,1746970,1726020,1172880,481456,269806,207036,266562,,2.485715116,1.269600291,1.254375,0.852383721,0.349895349,0.196079942,0.150462209,0.193722384
1408000,3497840,1786948,1769394,1207094,495034,274784,210492,215790,,2.484261364,1.269139205,1.256671875,0.85731108,0.351586648,0.195159091,0.149497159,0.153259943
1440000,3583990,1826726,1811718,1227940,501448,279826,214012,273218,,2.488881944,1.268559722,1.2581375,0.852736111,0.348227778,0.194323611,0.148619444,0.189734722
1472000,3662124,1866650,1850078,1256502,511444,284786,217270,222436,,2.487855978,1.26810462,1.256846467,0.853601902,0.34744837,0.19346875,0.147601902,0.151111413
1504000,3742152,1906678,1889508,1286344,521448,289790,224406,279844,,2.488132979,1.267738032,1.256321809,0.855281915,0.346707447,0.192679521,0.149206117,0.186066489
1536000,3820908,1946660,1929396,1306568,535076,295030,224004,229056,,2.487570313,1.267356771,1.256117188,0.850630208,0.348356771,0.192076823,0.145835938,0.149125
1568000,3900824,1986694,1969468,1342774,541458,303224,227802,290368,,2.487770408,1.267024235,1.256038265,0.856360969,0.345317602,0.193382653,0.145281888,0.185183673
1600000,3981018,2026854,2009286,1367148,551436,304850,231208,235684,,2.48813625,1.26678375,1.25580375,0.8544675,0.3446475,0.19053125,0.144505,0.1473025
1632000,4062496,2066672,2050770,1385846,564850,310024,234592,293210,,2.48927451,1.266343137,1.256599265,0.849170343,0.346109069,0.189965686,0.143745098,0.17966299
1664000,4141800,2111168,2089148,1419298,571460,314790,237808,242390,,2.4890625,1.268730769,1.255497596,0.85294351,0.343425481,0.189176683,0.142913462,0.145667067
1696000,4220916,2147092,2129554,1443444,581440,320662,241094,299892,,2.488747642,1.265974057,1.255633255,0.851087264,0.342830189,0.189069575,0.142154481,0.176823113
1728000,4301984,2186958,2170238,1474064,591442,324784,244614,249134,,2.489574074,1.265600694,1.255924769,0.853046296,0.342269676,0.187953704,0.141559028,0.144174769
1760000,4380962,2227028,2208816,1494620,605056,329782,247730,306560,,2.489182955,1.265356818,1.255009091,0.849215909,0.343781818,0.187376136,0.140755682,0.174181818
1792000,4465444,2266912,2249044,1523570,611466,338120,255462,255710,,2.491877232,1.265017857,1.255046875,0.850206473,0.341219866,0.188683036,0.14255692,0.142695313
1824000,4541748,2307052,2292470,1552904,621446,339922,254496,316958,,2.489993421,1.26483114,1.256836623,0.851372807,0.340705044,0.186360746,0.139526316,0.173770833
1856000,4619888,2346968,2329420,1576838,635188,344804,257956,262466,,2.489163793,1.264530172,1.255075431,0.84958944,0.342234914,0.185778017,0.138984914,0.141414871
1888000,4701450,2390510,2369880,1604062,641448,349780,261246,319878,,2.490174788,1.266159958,1.255233051,0.84960911,0.33975,0.185264831,0.138371822,0.169426907
1920000,4783982,2427088,2409734,1631668,651446,354774,264786,269046,,2.491657292,1.264108333,1.255069792,0.849827083,0.339294792,0.184778125,0.137909375,0.140128125
1952000,4862150,2467032,2451738,1657862,665080,364008,268392,326526,,2.490855533,1.263848361,1.25601332,0.849314549,0.340717213,0.186479508,0.137495902,0.167277664
